No.,Insurance undertaking,category,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Participating interests,268376000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Participating interests,19783000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Participating interests,8218000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Participating interests,6316000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Participating interests,8379000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Participating interests,11276000,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Participating interests,29809000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Participating interests,530000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Participating interests,1e+06,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Debt securitis and loans related to participating interests,11750000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Debt securitis and loans related to participating interests,2075000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Debt securitis and loans related to participating interests,40636000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Debt securitis and loans related to participating interests,1939000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Shares and other variable yieldsecurities,343068000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Shares and other variable yieldsecurities,157961000,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Shares and other variable yieldsecurities,163594000,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Shares and other variable yieldsecurities,41592000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Shares and other variable yieldsecurities,1301647000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,451592000,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Shares and other variable yieldsecurities,313690000,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Shares and other variable yieldsecurities,12415000,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Shares and other variable yieldsecurities,72175000,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Shares and other variable yieldsecurities,276081000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Shares and other variable yieldsecurities,206502000,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Shares and other variable yieldsecurities,618494000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Shares and other variable yieldsecurities,10234000,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Shares and other variable yieldsecurities,558858000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Shares and other variable yieldsecurities,78481000,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,654712000,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Shares and other variable yieldsecurities,3224126000,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Shares and other variable yieldsecurities,3522484000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Shares and other variable yieldsecurities,975600000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Shares and other variable yieldsecurities,6670000,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Shares and other variable yieldsecurities,63070000,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Shares and other variable yieldsecurities,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Debt securities and other fixedincome securities,7892118000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Debt securities and other fixedincome securities,1198592000,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Debt securities and other fixedincome securities,548831000,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Debt securities and other fixedincome securities,1684034000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Debt securities and other fixedincome securities,2866896000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,52010000,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Debt securities and other fixedincome securities,830772000,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Debt securities and other fixedincome securities,80433000,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Debt securities and other fixedincome securities,15068000,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Debt securities and other fixedincome securities,826290000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Debt securities and other fixedincome securities,191134000,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Debt securities and other fixedincome securities,803762000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities and other fixedincome securities,116192000,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Debt securities and other fixedincome securities,3581409000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Debt securities and other fixedincome securities,110490000,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,133111000,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Debt securities and other fixedincome securities,689288000,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Debt securities and other fixedincome securities,9933325000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Debt securities and other fixedincome securities,2065357000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Debt securities and other fixedincome securities,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Debt securities and other fixedincome securities,321678000,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Debt securities and other fixedincome securities,6004000,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Participation in investments pools,151000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Participation in investments pools,827000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Loans guaranteed by mortgages,5905000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Loans guaranteed by mortgages,59153000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Loans guaranteed by mortgages,1e+06,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Loans guaranteed by mortgages,36000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Loans guaranteed by mortgages,55019000,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Loans guaranteed by mortgages,367288000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Loans guaranteed by mortgages,54125000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Advances against policies,11410000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Advances against policies,27000,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Advances against policies,954000,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Advances against policies,2377000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Advances against policies,164000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Advances against policies,196000,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Advances against policies,1324000,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Advances against policies,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Advances against policies,34000,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Advances against policies,218000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Advances against policies,37000,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Advances against policies,2481000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Advances against policies,55000,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Advances against policies,670000,"Table 1:  Balance sheet, assets (Life insurance)",2018
