No.,Insurance undertaking,category,value,Tabelle,year
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,91131000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Debt securities issued by and loans to affiliated undertakings,37167000,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,380233000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Debt securities issued by and loans to affiliated undertakings,55208000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Participating interests,277254000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Participating interests,47137000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Participating interests,17767000,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Participating interests,1024000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Participating interests,8218000,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Participating interests,6316000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Participating interests,9019000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Participating interests,15472000,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Participating interests,30574000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Participating interests,628000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Participating interests,1e+06,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Debt securitis and loans related to participating interests,32168000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Debt securitis and loans related to participating interests,12750000,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Debt securitis and loans related to participating interests,2075000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Debt securitis and loans related to participating interests,4425000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Debt securitis and loans related to participating interests,1939000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Shares and other variable yieldsecurities,171273000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Shares and other variable yieldsecurities,167381000,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Shares and other variable yieldsecurities,161971000,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Shares and other variable yieldsecurities,49408000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Shares and other variable yieldsecurities,1271854000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Shares and other variable yieldsecurities,1392559000,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,423272000,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Shares and other variable yieldsecurities,305621000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Shares and other variable yieldsecurities,12194000,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Shares and other variable yieldsecurities,69119000,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Shares and other variable yieldsecurities,291721000,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Shares and other variable yieldsecurities,225479000,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Shares and other variable yieldsecurities,584810000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Shares and other variable yieldsecurities,19048000,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Shares and other variable yieldsecurities,635176000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Shares and other variable yieldsecurities,73365000,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,644536000,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Shares and other variable yieldsecurities,3216586000,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Shares and other variable yieldsecurities,2721078000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Shares and other variable yieldsecurities,919039000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Shares and other variable yieldsecurities,6815000,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Shares and other variable yieldsecurities,57422000,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Shares and other variable yieldsecurities,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Debt securities and other fixedincome securities,8302268000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Debt securities and other fixedincome securities,1218665000,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Debt securities and other fixedincome securities,574536000,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Debt securities and other fixedincome securities,1686852000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Debt securities and other fixedincome securities,6293707000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Debt securities and other fixedincome securities,2809353000,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,71823000,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Debt securities and other fixedincome securities,795864000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Debt securities and other fixedincome securities,81644000,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Debt securities and other fixedincome securities,16545000,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Debt securities and other fixedincome securities,846068000,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Debt securities and other fixedincome securities,150323000,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Debt securities and other fixedincome securities,866224000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities and other fixedincome securities,110261000,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Debt securities and other fixedincome securities,3549888000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Debt securities and other fixedincome securities,108556000,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,136902000,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Debt securities and other fixedincome securities,689349000,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Debt securities and other fixedincome securities,3203759000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Debt securities and other fixedincome securities,2142463000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Debt securities and other fixedincome securities,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Debt securities and other fixedincome securities,313877000,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Debt securities and other fixedincome securities,6193000,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Participation in investments pools,1152000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Participation in investments pools,250000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Loans guaranteed by mortgages,7149000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Loans guaranteed by mortgages,3000,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Loans guaranteed by mortgages,51697000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Loans guaranteed by mortgages,178198000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Loans guaranteed by mortgages,1e+06,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Loans guaranteed by mortgages,48000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Loans guaranteed by mortgages,55022000,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Loans guaranteed by mortgages,165529000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Loans guaranteed by mortgages,56728000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Advances against policies,5656000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Advances against policies,41000,"Table 1:  Balance sheet, assets (Life insurance)",2017
