No.,Insurance undertaking,category,value,Tabelle,year
123,Helvetia Versicherungen AG,Shares and other variable yieldsecurities,195151000,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Shares and other variable yieldsecurities,45662000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Shares and other variable yieldsecurities,1249466000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Shares and other variable yieldsecurities,1387751000,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,371335000,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Shares and other variable yieldsecurities,298976000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Shares and other variable yieldsecurities,11801000,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Shares and other variable yieldsecurities,65010000,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Shares and other variable yieldsecurities,322795000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Shares and other variable yieldsecurities,221745000,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Shares and other variable yieldsecurities,536509000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Shares and other variable yieldsecurities,18936000,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Shares and other variable yieldsecurities,660703000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Shares and other variable yieldsecurities,68054000,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Shares and other variable yieldsecurities,613525000,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Shares and other variable yieldsecurities,3144828000,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Shares and other variable yieldsecurities,2777122000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Shares and other variable yieldsecurities,918402000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Shares and other variable yieldsecurities,6292000,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Shares and other variable yieldsecurities,55394000,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Shares and other variable yieldsecurities,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Debt securities and other fixedincome securities,8453187000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Debt securities and other fixedincome securities,1237056000,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Debt securities and other fixedincome securities,557295000,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Debt securities and other fixedincome securities,1605046000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Debt securities and other fixedincome securities,6230519000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Debt securities and other fixedincome securities,2815659000,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,96619000,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Debt securities and other fixedincome securities,765263000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Debt securities and other fixedincome securities,86270000,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Debt securities and other fixedincome securities,21356000,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Debt securities and other fixedincome securities,659986000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Debt securities and other fixedincome securities,138440000,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Debt securities and other fixedincome securities,866280000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities and other fixedincome securities,109806000,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Debt securities and other fixedincome securities,3530784000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Debt securities and other fixedincome securities,109802000,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities and other fixedincome securities,129726000,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Debt securities and other fixedincome securities,733705000,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Debt securities and other fixedincome securities,2762123000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Debt securities and other fixedincome securities,2147839000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Debt securities and other fixedincome securities,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Debt securities and other fixedincome securities,321219000,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Debt securities and other fixedincome securities,6397000,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Participation in investments pools,3019000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Participation in investments pools,536000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Participation in investments pools,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Loans guaranteed by mortgages,8338000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Loans guaranteed by mortgages,27000,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Loans guaranteed by mortgages,5000,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Loans guaranteed by mortgages,57610000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Loans guaranteed by mortgages,180555000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Loans guaranteed by mortgages,2329000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Loans guaranteed by mortgages,29000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Loans guaranteed by mortgages,56000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Loans guaranteed by mortgages,196000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Loans guaranteed by mortgages,50826000,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Loans guaranteed by mortgages,188795000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Loans guaranteed by mortgages,57537000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Loans guaranteed by mortgages,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Advances against policies,5109000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Advances against policies,51000,"Table 1:  Balance sheet, assets (Life insurance)",2016
