VU- Nr.,Versicherungsunternehmen,Kategorie,value,Tabelle,year
185,Nürnberger Versicherung AG,Grundstücke und Bauten,6508000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Anteile an verbundenen Unternehmen,408783000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Anteile an verbundenen Unternehmen,75396000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Anteile an verbundenen Unternehmen,32590000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Anteile an verbundenen Unternehmen,391341000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Anteile an verbundenen Unternehmen,5181000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Anteile an verbundenen Unternehmen,104291000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Anteile an verbundenen Unternehmen,12715000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Anteile an verbundenen Unternehmen,490098000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Anteile an verbundenen Unternehmen,34210000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Anteile an verbundenen Unternehmen,173000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,188940000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,31171000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,173562000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,9e+06,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,5e+05,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,113876000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,37167000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,475758000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,39845000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Beteiligungen,266886000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Beteiligungen,20143000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Beteiligungen,8218000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Beteiligungen,6316000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Beteiligungen,8379000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Beteiligungen,22828000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Beteiligungen,494000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Beteiligungen,1e+06,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Beteiligungen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",11360000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",2075000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",9654000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",1939000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,"Schuldverschr. von und Darlehen an Untern., mit denen Beteil.verh. besteht",0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Aktien und andere nicht festverzinsliche Wertpapiere,411537000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,164936000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Aktien und andere nicht festverzinsliche Wertpapiere,179568000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Aktien und andere nicht festverzinsliche Wertpapiere,41591000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,1356195000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Aktien und andere nicht festverzinsliche Wertpapiere,473371000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,349984000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,12255000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Aktien und andere nicht festverzinsliche Wertpapiere,77705000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Aktien und andere nicht festverzinsliche Wertpapiere,281037000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,210908000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Aktien und andere nicht festverzinsliche Wertpapiere,769354000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Aktien und andere nicht festverzinsliche Wertpapiere,9345000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,478416000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Aktien und andere nicht festverzinsliche Wertpapiere,77973000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Aktien und andere nicht festverzinsliche Wertpapiere,662229000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Aktien und andere nicht festverzinsliche Wertpapiere,3293163000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Aktien und andere nicht festverzinsliche Wertpapiere,3572396000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Aktien und andere nicht festverzinsliche Wertpapiere,957297000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,7866000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Aktien und andere nicht festverzinsliche Wertpapiere,67448000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Aktien und andere nicht festverzinsliche Wertpapiere,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,7731253000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,1141577000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,487478000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,1599469000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,2608198000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,48093000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,840690000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,77880000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Schuldverschreibungen und andere festverzinsliche Wertpapiere,10115000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,825296000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,214215000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Schuldverschreibungen und andere festverzinsliche Wertpapiere,733638000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Schuldverschreibungen und andere festverzinsliche Wertpapiere,120853000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,3646126000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Schuldverschreibungen und andere festverzinsliche Wertpapiere,111199000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,131353000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,683620000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,9501181000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,1944885000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,315869000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Schuldverschreibungen und andere festverzinsliche Wertpapiere,5904000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Anteile an gemeinschaftlichen Kapitalanlagen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Anteile an gemeinschaftlichen Kapitalanlagen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
